date,exercise_minutes
12/20/2018,4
12/21/2018,31
12/22/2018,11
12/23/2018,5
12/24/2018,14
12/25/2018,20
12/26/2018,17
12/27/2018,19
12/28/2018,14
12/29/2018,83
12/30/2018,59
12/31/2018,11
1/1/2019,38
1/2/2019,30
1/3/2019,30
1/4/2019,34
1/5/2019,70
1/6/2019,46
1/7/2019,31
1/8/2019,32
1/9/2019,36
1/10/2019,38
1/11/2019,31
1/12/2019,37
1/13/2019,48
1/14/2019,33
1/15/2019,15
1/16/2019,30
1/17/2019,14
1/18/2019,35
1/19/2019,36
1/20/2019,43
1/21/2019,13
1/22/2019,29
1/23/2019,57
1/24/2019,25
1/25/2019,29
1/26/2019,12
1/27/2019,14
1/28/2019,65
1/29/2019,21
1/30/2019,15
1/31/2019,13
2/1/2019,13
2/2/2019,11
2/3/2019,13
2/4/2019,31
2/5/2019,14
2/6/2019,16
2/7/2019,38
2/8/2019,18
2/9/2019,1
2/10/2019,16
2/11/2019,18
2/12/2019,53
2/13/2019,43
2/14/2019,20
2/15/2019,33
2/16/2019,8
2/17/2019,31
2/18/2019,41
2/19/2019,16
2/20/2019,36
2/21/2019,31
2/22/2019,15
2/23/2019,11
2/24/2019,12
2/25/2019,18
2/26/2019,14
2/27/2019,17
2/28/2019,13
3/1/2019,18
3/2/2019,25
3/3/2019,17
3/4/2019,30
3/5/2019,20
3/6/2019,28
3/7/2019,8
3/8/2019,26
3/9/2019,13
3/10/2019,15
3/11/2019,22
3/12/2019,12
3/13/2019,71
3/14/2019,20
3/15/2019,27
3/16/2019,50
3/17/2019,13
3/18/2019,21
3/19/2019,21
3/20/2019,21
3/21/2019,16
3/22/2019,20
3/23/2019,23
3/24/2019,12
3/25/2019,20
3/26/2019,15
3/27/2019,33
3/28/2019,68
3/29/2019,17
3/30/2019,16
3/31/2019,13
4/1/2019,25
4/2/2019,24
4/3/2019,23
4/4/2019,22
4/5/2019,23
4/6/2019,63
4/7/2019,12
4/8/2019,30
4/9/2019,66
4/10/2019,26
4/11/2019,18
4/12/2019,13
4/13/2019,32
4/14/2019,8
4/15/2019,49
4/16/2019,24
4/17/2019,22
4/18/2019,22
4/19/2019,32
4/20/2019,13
4/21/2019,9
4/22/2019,45
4/23/2019,23
4/24/2019,52
4/25/2019,22
4/26/2019,43
4/27/2019,49
4/28/2019,12
4/29/2019,30
4/30/2019,23
5/1/2019,37
5/2/2019,48
5/3/2019,25
5/4/2019,14
5/5/2019,56
5/6/2019,25
5/7/2019,22
5/8/2019,29
5/9/2019,55
5/10/2019,26
5/11/2019,18
5/12/2019,20
5/13/2019,34
5/14/2019,20
5/15/2019,17
5/16/2019,18
5/17/2019,31
5/18/2019,2
5/19/2019,40
5/20/2019,18
5/21/2019,32
5/22/2019,45
5/23/2019,32
5/24/2019,23
5/25/2019,51
5/26/2019,41
5/27/2019,56
5/28/2019,18
5/29/2019,29
5/30/2019,19
5/31/2019,45
6/1/2019,62
6/2/2019,50
6/3/2019,29
6/4/2019,42
6/5/2019,38
6/6/2019,29
6/7/2019,72
6/8/2019,48
6/9/2019,51
6/10/2019,35
6/11/2019,18
6/12/2019,30
6/13/2019,26
6/14/2019,30
6/15/2019,56
6/16/2019,16
6/17/2019,30
6/18/2019,49
6/19/2019,38
6/20/2019,34
6/21/2019,17
6/22/2019,39
6/23/2019,60
6/24/2019,17
6/25/2019,23
6/26/2019,30
6/27/2019,29
6/28/2019,11
6/29/2019,18
6/30/2019,64
7/1/2019,18
7/2/2019,19
7/3/2019,42
7/4/2019,15
7/5/2019,19
7/6/2019,15
7/7/2019,90
7/8/2019,27
7/9/2019,40
7/10/2019,37
7/11/2019,38
7/12/2019,39
7/13/2019,11
7/14/2019,13
7/15/2019,25
7/16/2019,28
7/17/2019,27
7/18/2019,29
7/19/2019,29
7/20/2019,31
7/21/2019,11
7/22/2019,33
7/23/2019,33
7/24/2019,20
7/25/2019,62
7/26/2019,38
7/27/2019,31
7/28/2019,36
7/29/2019,36
7/30/2019,24
7/31/2019,33
8/1/2019,53
8/2/2019,46
8/3/2019,55
8/4/2019,73
8/5/2019,32
8/6/2019,60
8/7/2019,33
8/8/2019,73
8/9/2019,49
8/10/2019,51
8/11/2019,65
8/12/2019,65
8/13/2019,41
8/14/2019,30
8/15/2019,28
8/16/2019,29
8/17/2019,20
8/18/2019,61
8/19/2019,30
8/20/2019,24
8/21/2019,64
8/22/2019,33
8/23/2019,25
8/24/2019,64
8/25/2019,67
8/26/2019,26
