date,interval_number,interval_type,distance,time,note
8/16/2022,1,run,800,3:45,"started run from my watch (as opposed to starting on phone), and i don't know if that affected how often bpm updated on watch. It seemed like the recoveries were all like a minute longer this time."
8/16/2022,2,recover,800,2:03,
8/16/2022,3,run,800,4:10,
8/16/2022,4,recover,800,2:50,
8/16/2022,5,run,600,3:18,
8/16/2022,6,recover,600,3:14,
8/16/2022,7,run,600,3:21,
8/16/2022,8,recover,600,3:35,
8/16/2022,9,run,400,2:07,
8/16/2022,10,recover,400,2:29,
8/16/2022,11,run,400,2:10,
8/16/2022,12,recover,400,3:34,
8/16/2022,13,run,200,0:50,
8/16/2022,14,recover,200,2:46,
7/28/2022,1,run,800,3:54,first time trying this exercise
7/28/2022,2,recover,800,1:52,
7/28/2022,3,run,800,4:27,
7/28/2022,4,recover,800,2:00,
7/28/2022,5,run,600,3:29,
7/28/2022,6,recover,600,1:59,
7/28/2022,7,run,600,3:22,
7/28/2022,8,recover,600,1:49,
7/28/2022,9,run,400,2:08,
7/28/2022,10,recover,400,2:05,
7/28/2022,11,run,400,2:15,
7/28/2022,12,recover,400,1:38,
7/28/2022,13,run,200,0:57,
7/28/2022,14,recover,200,1:35,
